Element	English	Macedonian
Einsteinium	Einsteinium is mainly used for scientific research purposes.<br><br>The rare isotope einsteinium-254 is favored for production of ultraheavy elements.<br><br>Einsteinium-254 was used as the calibration marker in the chemical analysis spectrometer of the Surveyor 5 lunar probe.	Ајнштајниумот главно се користи за научно истражувачки цели.<br><br>Редкиот изотоп ајнштајниум-254 е преферирани за производство на ултратешки елементи.<br><br>Ајнштајниум-254 е употребен как калибрациска ознака во спектрометарот за хемиска анализа на месечевата сонда Сервојер 5.
Fermium	Fermium is used for scientific research purposes only.	Фермиумот се користи само за научно истражувачки цели.
Mendelevium	Mendelevium is used for scientific research purposes only.	Менделевиумот се користи само за научно истражувачки цели.
Nobelium	Nobelium is used for scientific research purposes only.	Нобелиумот се користи само за научно истражувачки цели.
Lawrencium	Lawrencium is used for scientific research purposes only.	Лоренциумот се користи само за научно истражувачки цели.
Rutherfordium	Rutherfordium is used for scientific research purposes only.	Радерфордиумот се користи само за научно истражувачки цели.
Dubnium	Dubnium is used for scientific research purposes only.	Дубниумот се користи само за научно истражувачки цели.
Seaborgium	Seaborgium is used for scientific research purposes only.	Сиборгиумот се користи само за научно истражувачки цели.
Bohrium	Bohrium is used for scientific research purposes only.	Бориумот се користи само за научно истражувачки цели.
Hassium	Hassium is used for scientific research purposes only.	Хасиумот се користи само за научно истражувачки цели.
Meitnerium	Meitnerium is used for scientific research purposes only.	Мајтнериумот се користи само за научно истражувачки цели.
Darmstadtium	Darmstadtium is used for scientific research purposes only.	Дармштадтиумот се користи само за научно истражувачки цели.
Roentgenium	Roentgenium is used for scientific research purposes only.	Рентгениумот се користи само за научно истражувачки цели.
Copernicium	Copernicium is used for scientific research purposes only.	Коперниициумот се користи само за научно истражувачки цели.
Nihonium	Nihonium is used for scientific research purposes only.	Нихониумот се користи само за научно истражувачки цели.
Flerovium	Flerovium is used for scientific research purposes only.	Флеровиумот се користи само за научно истражувачки цели.
Moscovium	Moscovium is used for scientific research purposes only.	Московиумот се користи само за научно истражувачки цели.
Livermorium	Livermorium is used for scientific research purposes only.	Ливермориумот се користи само за научно истражувачки цели.
Tennessine	Tennessine is used for scientific research purposes only.	Тенесинот се користи само за научно истражувачки цели.
Oganesson	Oganesson is used for scientific research purposes only.	Оганесонот се користи само за научно истражувачки цели.
		
Hydrogen	Hydrogen is the primary component of Jupiter and the other gas giant planets	Водородот е главна компонента на Јупитер и другите гасовити планети
Helium	Unlike any other element, helium will remain liquid down to absolute zero at normal pressures	За разлика од секој друг елемент, хелиумот ќе остане течност до апсолутната нула при нормален притисок
Lithium	Lithium is the only metal which reacts with nitrogen under normal conditions	Литиумот е единствениот метал кој реагира со азот при нормални услови
Beryllium	Emerald is a naturally occurring compound of beryllium	Смарагдот е природно соединение на бериліум
Boron	Boron is an essential nutrient for all green plants	Борот е есенцијален хранлив елемент за сите зелени растенија
Carbon	About 20% of the weight of living organisms is carbon	Околу 20% од тежината на живите организми е јаглерод
Nitrogen	Nitrogen is present in all living organisms, in proteins, nucleic acids and other molecules	Азотот е присутен во сите живи организми, во протеини, нуклеински киселини и други молекули
Oxygen	Green and red colors in the Aurora Borealis are caused by oxygen atoms	Зелените и црвените бои во Аурора Бореалис се предизвикани од кислородни атоми
Fluorine	Fluorine reacts violently with water to produce oxygen	Флуорот реагира насилно со водата за да произведе кислород
Neon	In a vacuum discharge tube, neon glows reddish orange	Во вакуумска испусна цевка, неонот свети со црвено-портокалова боја
Sodium	Sodium burns in air with a brilliant yellow flame	Натриумот гори во воздух со брилијантен жолт пламен
Magnesium	When it burns in air, magnesium produces a brilliant white light	Кога гори во воздух, магнезиумот произведува брилијантна бела светлина
Aluminium	Aluminum does not stick to magnets under normal conditions	Алуминиумот не се прилепува на магнети при нормални услови
Silicon	Silicon also has the unusual property that it expands as it freezes	Силициумот исто така има необичното својство дека се шири додека се замрзнува
Phosphorus	Elemental phosphorus exists in two major forms - white phosphorus and red phosphorus	Елементарниот фосфор постои во две главни форми - бел фосфор и црвен фосфор
Sulfur	Penicillin is a natural, sulfur-based antibiotic	Пеницилинот е природен антибиотик базиран на сулфур
Chlorine	Tree frogs have a chlorine compound in their skin that is a very powerful pain killer	Дрвните жаби имаат хлорно соединение во кожата кое е многу моќен аналгетик
Argon	Argon makes a distinctive blue-green gas laser	Аргонот создава карактеристичен сино-зелен гасен ласер
Potassium	People whose diets are low in potassium can suffer from hypokalemia	Луѓето чија исхрана е со малку калиум можат да страдаат од хипокалемија
Calcium	The shell of an egg is made up of primarily calcium carbonate	Лушпата на јајцето е составена главно од калциум карбонат
Scandium	The stable form of scandium is created in supernovas via the r-process	Стабилната форма на скандиум се создава во супернови преку р-процесот
Titanium	Titanium is one of the few elements that burns in pure nitrogen gas	Титаниумот е еден од малкуте елементи кои горат во чист азотен гас
Vanadium	Vanadium is mined mostly in South Africa, north-western China, and eastern Russia	Ванадиумот се копа главно во Јужна Африка, северозападна Кина и источна Русија
Chromium	Chromium oxide was used by the Chinese in the Qin dynasty over 2,000 years ago	Хром оксидот бил употребуван од Кинезите во династијата Чин пред повеќе од 2.000 години
Manganese	Neanderthals may have used black manganese di oxide as a cosmetic 50,000 years ago	Неандерталците можеби употребувале црн манган диоксид како козметик пред 50.000 години
Iron	The color of blood is due to the hemoglobin, an iron-containing protein	Бојата на крвта се должи на хемоглобинот, протеин кој содржи железо
Cobalt	Supplemental cobalt is essential in sheep's diets to improve the wools quality	Дополнителниот кобалт е есенцијален во исхраната на овците за подобрување на квалитетот на волната
Nickel	Nickel is 100 times more concentrated below Earth's crust than in it	Никелот е 100 пати поконцентриран под земјината кора отколку во неа
Copper	Pure copper is orange-red and acquires a reddish tarnish when exposed to air	Чистиот бакар е портокалово-црвен и добива црвенкаста патина кога е изложен на воздух
Zinc	Zinc is referred to in nonscientific contexts as spelter	Цинкот се нарекува спелтер во ненаучен контекст
Gallium	Gallium has a strong tendency to supercool below its melting point / freezing point	Галиумот има силна тенденција да се потхлади под неговата точка на топење/замрзнување
Germanium	Germanium and the oxide are transparent to infrared radiation	Германиумот и неговиот оксид се транспарентни за инфрацрвено зрачење
Arsenic	Prawns are known to contain quite high levels of arsenic	Познато е дека скампите содржат прилично високи нивоа на арсен
Selenium	Selenium deficiency in animals can lead to slow growth	Недостаток на селен кај животните може да доведе до забавен раст
Bromine	Bromine is the only nonmetallic element that is liquid at ordinary temperatures	Бромот е единствениот неметален елемент кој е течен при обични температури
Krypton	When ionized, krypton gas emits bright white light	Кога е јонизиран, криптонскиот гас испушта светло бела светлина
Rubidium	Rubidium burns with a reddish-violet flame color	Рубидиумот гори со боја на пламен во црвено-виолетова нијанса
Strontium	Strontium metal turns yellow when exposed to air	Металниот стронциум пожолтува кога е изложен на воздух
Yttrium	Finely divided yttrium is very unstable in air	Ситно поделениот итриум е многу нестабилен во воздух
Zirconium	The most common oxide is zirconium dioxide, also referred to as zirconia	Најчестиот оксид е циркониум диоксид, познат и како циркониja
Niobium	Brazil is the leading producer of niobium	Бразил е водечки производител на ниобиум
Molybdenum	Molybdenum is essential for plant foliage health	Молибденот е есенцијален за здравјето на лисјата на растенијата
Technetium	Technetium was the first element to be produced artificially	Технециумот бил прв елемент произведен вештачки
Ruthenium	Ruthenium is unaffected by air, water and acids	Рутениумот не е под влијание на воздух, вода и киселини
Rhodium	Rhodium metal does not normally form an oxide, even when heated	Металниот родиум нормално не формира оксид, дури и кога се загрева
Palladium	In the late 1800s, palladium was more expensive than platinum	Кон крајот на 1800-тите, паладиумот бил поскап од платинот
Silver	In ancient Egypt and Medieval Europe, silver was often more valuable than gold	Во античкиот Египет и средновековна Европа, среброто честопати било повредно од златото
Cadmium	Cadmium is a soft metal which is easily cut with a knife	Кадмиумот е мек метал кој лесно се сече со нож
Indium	When it is bent, indium emits a high-pitched 'cry'	Кога се свиткува, индиумот испушта висок 'крик'
Tin	When a bar of tin is bent, a crackling sound known as the tin cry can be heard	Кога се виткува калајна плочка, се слуша пукање познато како плач на калај
Antimony	Antimony is a poor conductor of heat and electricity	Антимонот е лош проводник на топлина и електрицитет
Tellurium	In air, tellurium burns with a greenish-blue flames, forming the dioxide	Во воздух, телурот гори со зеленикаво-сини пламени, формирајќи диоксид
Iodine	Kelp was the main source of natural iodine in the 18th and 19th centuries	Алгите биле главниот извор на природен јод во 18. и 19. век
Xenon	If inhaled, xenon can cause a person's voice to deepen	Ако се вдише, ксенонот може да предизвика продлабочување на гласот на човекот
Caesium	Cesium was the first element discovered using a spectroscope	Цезиумот бил прв елемент открен со употреба на спектроскоп
Barium	At low doses, barium acts as a muscle stimulant	При мали дози, бариумот делува како мускулен стимуланс
Lanthanum	Lanthanum is the most reactive of the rare earth metals	Лантанот е најреактивниот од ретките земји метали
Cerium	Seawater contains 1.5 parts per trillion of cerium	Морската вода содржи 1,5 делови на трилион на цериум
Praseodymium	Praseodymium is usually stored under a light mineral oil or sealed in glass	Прасеодимиумот обично се чува под лесно минерално масло или запечатен во стакло
Neodymium	Most of the world's neodymium is mined in China	Поголемиот дел од неодимиумот во светот се копа во Кина
Promethium	Promethium is the only lanthanide that has no stable isotopes	Прометиумот е единствениот лантанид кој нема стабилни изотопи
Samarium	Samarium metal can be produced by reducing the oxide with lanthanum	Металниот самариум може да се произведе со редуцирање на оксидот со лантан
Europium	Europium is the most reactive rare earth element	Европиумот е најреактивниот елемент на ретките земји
Gadolinium	Gadolinium has the highest neutron cross-section among any stable nuclides	Гадолиниумот има највисок попречен пресек за неутрони меѓу сите стабилни нуклиди
Terbium	Terbium is soft enough to be cut with a knife	Тербиумот е доволно мек за да се сече со нож
Dysprosium	Naturally occurring dysprosium is composed of 7 isotopes	Природно присутниот диспрозиум е составен од 7 изотопи
Holmium	Holmium has the highest magnetic strength of any naturally occurring element	Холмиумот има највисока магнетна јачина од секој природно присутен елемент
Erbium	The highest concentration of erbium in humans is in the bones	Највисоката концентрација на ербиум кај луѓето е во коските
Thulium	Thulium ore occurs most commonly in China	Рудата на тулиум најчесто се наоѓа во Кина
Ytterbium	Ytterbium is recovered commercially from monazite sand	Итербиумот се добива комерцијално од монацитен песок
Lutetium	Lutetium was the last natural rare earth element to be discovered	Лутециумот бил последниот природен елемент на ретките земји кој бил открен
Hafnium	In powdered form, hafnium is pyrophoric and can ignite spontaneously in air	Во прав форма, хафниумот е пирофорен и може спонтано да се запали во воздух
Tantalum	Tantalum occurs principally in the mineral columbite-tantalite	Танталот се наоѓа главно во минералот колумбит-танталит
Tungsten	The chemical symbol, W, comes from the original name of the element, Wolfram	Хемискиот симбол W доаѓа од оригиналното име на елементот, Волфрам
Rhenium	Chile has the world's largest rhenium reserves	Чиле ги има најголемите светски резерви на рениум
Osmium	Osmium is the least abundant stable element in the Earth's crust	Осмиумот е најмалку застапениот стабилен елемент во земјината кора
Iridium	Iridium is the most corrosion-resistant metal known	Иридиумот е најотпорниот метал на корозија познат досега
Platinum	Platinum exists in higher abundances on the Moon and in meteorites	Платинот постои во поголеми количини на Месечината и во метеорити
Gold	India is the world's largest single consumer of gold	Индија е најголемиот единечен потрошувач на злато во светот
Mercury	Mercury is the only metal that is liquid at room temperature	Живата е единствениот метал кој е течен на собна температура
Thallium	Agatha Christie made use of thallium's toxicity in her novel The Pale Horse	Агата Кристи го употребила токсичното дејство на талиумот во нејзиниот роман Бледиот коњ
Lead	Pencil leads in wooden pencils have never been made from lead	Оловките во дрвените моливи никогаш не биле направени од олово
Bismuth	Bismuth has unusually high electrical resistance for a metal	Бизмутот има необично висок електричен отпор за метал
Polonium	Polonium is obtained by irradiating bismuth with high-energy neutrons or protons	Полониумот се добива со зрачење на бизмут со неутрони или протони со висока енергија
Astatine	Astatine is preferentially concentrated in the thyroid gland	Астатинот е преференцијално концентриран во тироидната жлезда
Radon	Upon condensation, radon glows because of the intense radiation it produces	По кондензација, радонот свети поради интензивното зрачење кое го произведува
Francium	Francium was the last element discovered in nature, rather than by synthesis	Францiumот бил последниот елемент открен во природата, а не преку синтеза
Radium	Radium imparts a carmine red color to a flame	Радиумот дава карминско-црвена боја на пламен
Actinium	Actinium glows in the dark with a pale blue light	Актиниумот свети во темница со бледосина светлина
Thorium	Thorium fuel research is continuing in several countries including the USA and India	Истражувањето на ториумско гориво продолжува во неколку земји вклучувајќи ги САД и Индија
Protactinium	Protactinium is one of the rarest and most expensive naturally occurring elements	Протактиниумот е еден од најретките и најскапите природно присутни елементи
Uranium	Uranium-235 was the first isotope that was found to be fissile	Ураниум-235 бил прв изотоп за кој е утврдено дека е фисибилен
Neptunium	Neptunium is obtained as a by-product from nuclear reactors	Нептуниумот се добива како нуспроизвод од нуклеарни реактори
Plutonium	The atomic bomb dropped on Nagasaki, Japan in 1945 had a plutonium core	Атомската бомба фрлена на Нагасаки, Јапонија во 1945 година имала јадро од плутониум
Americium	Americium often enters landfills from discarded smoke detectors	Америциумот честопати завршува во депонии од фрлени детектори на чад
Curium	Curium accumulates in the bones, lungs and liver, where it promotes cancer	Кириумот се акумулира во коските, белите дробови и црниот дроб, каде промовира рак
Berkelium	Just over one gram of berkelium has been produced in the United States since 1967	Малку повеќе од еден грам берклиум е произведен во Соединетите Американски Држави од 1967 година
Californium	Californium is produced in nuclear reactors and particle accelerators	Калифорниумот се произведува во нуклеарни реактори и честички акцелератори
Einsteinium	Einsteinium is the first divalent metal in the actinide series	Ајнштајниумот е прв двовалентен метал во актинидната серија
Fermium	Sixteen isotopes of fermium are known to exist	Познато е дека постојат шеснаесет изотопи на фермиум
Mendelevium	Mendelevium was the first element to be produced one atom at a time	Менделевиумот бил прв елемент произведен по еден атом во исто време
Nobelium	Nobelium is a divalent ion in aqueous solution	Нобелиумот е двовалентен јон во воден раствор
Lawrencium	Lawrencium is a trivalent ion in aqueous solution	Лоренциумот е тривалентен јон во воден раствор
Rutherfordium	Rutherfordium is the first transactinide element	Рутерфордиумот е прв трансактинидски елемент
Dubnium	The Berkeley team proposed the name hahnium for the element	Тимот во Беркли предложил името хахниум за елементот
Seaborgium	There are 12 known isotopes of seaborgium	Познати се 12 изотопи на сиборгиум
Bohrium	The only confirmed example of isomerism in bohrium is in the isotope <sup>262</sup>Bh	Единствениот потврден пример на изомеризам кај бориум е во изотопот <sup>262</sup>Bh
Hassium	More than 100 atoms of hassium have been synthesized to date	Досега се синтетизирани повеќе од 100 атоми на хасиум
Meitnerium	Meitnerium has 7 isotopes whose half-lives are known	Мајтнериумот има 7 изотопи чии полуживоти се познати
Darmstadtium	Darmstadtium has no stable or naturally-occurring isotopes	Дармштадиумот нема стабилни или природно присутни изотопи
Roentgenium	Roentgenium has no stable or naturally-occurring isotopes	Рентгениумот нема стабилни или природно присутни изотопи
Copernicium	Copernicium has no stable or naturally-occurring isotopes	Копернициумот нема стабилни или природно присутни изотопи
Nihonium	Nihonium is historically known as eka-thallium	Нихониумот е историски познат како ека-талиум
Flerovium	The longest-lived isotope currently known is <sup>289</sup>Fl	Најдолго живеечкиот изотоп тековно познат е <sup>289</sup>Fl
Moscovium	Moscovium is historically known as eka-bismuth	Московиумот е историски познат како ека-бизмут
Livermorium	Livermorium is historically known as eka-polonium	Ливерморiумот е историски познат како ека-полониум
Tennessine	Tennessine is historically known as eka-astatine	Тенесинот е историски познат како ека-астатин
Oganesson	Oganesson is historically known as eka-radon	Оганесонот е историски познат како ека-радон
		
Hydrogen	Hydrogen poses a number of hazards to safety, from fires when mixed with air to being an asphyxiant in its pure form	Водородот претставува голем број опасности за безбедноста, од пожари кога се меша со воздух до асфиксија во чиста форма
Helium	Helium is not known to be toxic	Не е познато дека хелиумот е токсичен
Lithium	Lithium is corrosive and requires special handling to avoid skin contact	Литиумот е корозивен и бара специјално ракување за да се избегне контакт со кожа
Beryllium	Beryllium and its salts are toxic and should be handled with the greatest of care	Бериліумот и неговите соли се токсични и треба да се ракува со нив со најголема грижа
Boron	Elemental boron, boron oxide, boric acid, borates and many organoboron compounds are non-toxic	Елементарниот бор, бор оксид, борна киселина, борати и многу оргaнобоpни соединенија се нетоксични
Carbon	Pure carbon has extremely low toxicity to humans and can be handled safely in the form of graphite or charcoal	Чистиот јаглерод има исклучително ниска токсичност за луѓето и може безбедно да се ракува во форма на графит или јаглен
Nitrogen	Rapid release of nitrogen gas into an enclosed space can displace oxygen, and therefore represents an asphyxiation hazard	Брзото ослободување на азотен гас во затворен простор може да го замести кислородот и затоа претставува опасност од задушување
Oxygen	Oxygen gas can be toxic at elevated partial pressures, leading to convulsions and other health problems	Кислородниот гас може да биде токсичен при покачен парцијален притисок, предизвикувајќи конвулзии и други здравствени проблеми
Fluorine	Fluorine is highly toxic and corrosive	Флуорот е високо токсичен и корозивен
Neon	Neon is not known to be toxic	Не е познато дека неонот е токсичен
Sodium	Sodium metal should be handled with great care as it cannot be maintained in an inert atmosphere	Со металниот натриум треба да се постапува со голема претпазливост бидејќи не може да се одржува во инертна атмосфера
Magnesium	Because serious fires can occur, great care should be taken in handling magnesium metal	Бидејќи можат да се случат сериозни пожари, треба да се преземат особени мерки на претпазливост при ракување со метален магнезиум
Aluminium	Aluminum is not known to be toxic	Не е познато дека алуминиумот е токсичен
Silicon	If breathed in as a fine silica/silicate dust, it may cause chronic respiratory problems	Ако се вдише во форма на фин силика/силикатен прав, може да предизвика хронични проблеми со дишењето
Phosphorus	White phosphorus is highly toxic while red phosphorus is considered non-toxic	Белиот фосфор е високо токсичен додека црвениот фосфор се смета за нетоксичен
Sulfur	Elemental sulfur is considered to be of low toxicity	Елементарниот сулфур се смета за ниско токсичен
Chlorine	Elemental chlorine at high concentrations is extremely dangerous and poisonous	Елементарниот хлор при висока концентрација е исклучително опасен и отровен
Argon	Argon is considered to be non-toxic	Аргонот се смета за нетоксичен
Potassium	Potassium must be handled with great care with full skin and eye protection	Со калиумот треба да се ракува со голема претпазливост со целосна заштита на кожата и очите
Calcium	Calcium is considered to be non-toxic	Калциумот се смета за нетоксичен
Scandium	Scandium is considered to be of low toxicity	Скандиумот се смета за ниско токсичен
Titanium	Titanium metal is considered to be non-toxic	Металниот титаниум се смета за нетоксичен
Vanadium	All vanadium compounds should be considered toxic	Сите ванадиумови соединенија треба да се сметаат за токсични
Chromium	In larger amounts, chromium can be toxic and carcinogenic	Во поголеми количини, хромот може да биде токсичен и канцерогенен
Manganese	Excess manganese, particularly inhalation of the powder, is toxic	Вишокот манган, особено вдишување на прав, е токсичен
Iron	Iron is considered to be non-toxic	Железото се смета за нетоксично
Cobalt	Cobalt and its compounds are considered to be slightly toxic	Кобалтот и неговите соединенија се сметаат за малку токсични
Nickel	Nickel and its compounds are considered to be carcinogenic	Никелот и неговите соединенија се сметаат за канцерогени
Copper	Cooking acidic food in copper pots can cause toxicity	Готвењето кисела храна во бакарни тенџиња може да предизвика токсичност
Zinc	Zinc is not considered to be particularly toxic	Цинкот не се смета за особено токсичен
Gallium	Gallium is considered to be non-toxic	Галиумот се смета за нетоксичен
Germanium	Germanium is not known to be toxic	Не е познато дека германиумот е токсичен
Arsenic	Arsenic and its compounds are poisonous	Арсенот и неговите соединенија се отровни
Selenium	Many of selenium's compounds, such as selenates and selenites, are highly toxic	Многу соединенија на селенот, како селенати и селенити, се високо токсични
Bromine	Bromine is poisonous and causes skin burns	Бромот е отровен и предизвикува изгореници на кожата
Krypton	Krypton is considered to be non-toxic	Криптонот се смета за нетоксичен
Rubidium	Rubidium is not known to be toxic	Не е познато дека рубидиумот е токсичен
Strontium	Strontium's non-radioactive isotopes are considered non-toxic	Нерадиоактивните изотопи на стронциумот се сметаат за нетоксични
Yttrium	Exposure to yttrium compounds in humans may cause lung disease	Изложеноста на итриумови соединенија кај луѓето може да предизвика белодробна болест
Zirconium	Zirconium is considered to be non-toxic	Циркониумот се смета за нетоксичен
Niobium	Some niobium compounds are highly toxic	Некои ниобиумови соединенија се високо токсични
Molybdenum	Molybdenum is toxic in all but small quantities	Молибденот е токсичен во сите количини освен мали
Technetium	Technetium is harmful due to its radioactivity	Технециумот е штетен поради неговата радиоактивност
Ruthenium	Ruthenium is a suspected carcinogen and its compounds strongly stain the skin	Рутениумот е осомничен канцероген и неговите соединенија силно ја обојуваат кожата
Rhodium	Rhodium is considered to be non-toxic	Родиумот се смета за нетоксичен
Palladium	Palladium is considered to be of low toxicity	Паладиумот се смета за ниско токсичен
Silver	Silver is considered to be non-toxic	Среброто се смета за нетоксично
Cadmium	Cadmium and its compounds are highly toxic	Кадмиумот и неговите соединенија се високо токсични
Indium	Indium is considered to be of low toxicity	Индиумот се смета за ниско токсичен
Tin	Tin is considered to be non-toxic but most tin salts are toxic	Калајот се смета за нетоксичен но повеќето калајни соли се токсични
Antimony	Antimony and many of its compounds are toxic	Антимонот и многу од неговите соединенија се токсични
Tellurium	Tellurium and tellurium compounds are considered to be mildly toxic	Телурот и телурните соединенија се сметаат за малку токсични
Iodine	Elemental iodine is toxic if taken orally	Елементарниот јод е токсичен ако се земе орално
Xenon	Xenon is not toxic, but its compounds are highly toxic	Ксенонот не е токсичен, но неговите соединенија се високо токсични
Caesium	Cesium compounds are considered to be mildly toxic	Цезиумовите соединенија се сметаат за малку токсични
Barium	Water-soluble barium compounds are poisonous	Во вода растворливите бариумови соединенија се отровни
Lanthanum	Lanthanum and its compounds are considered to be moderately toxic	Лантанот и неговите соединенија се сметаат за умерено токсични
Cerium	Cerium is considered to be moderately toxic	Цериумот се смета за умерено токсичен
Praseodymium	Praseodymium is considered to be moderately toxic	Прасеодимиумот се смета за умерено токсичен
Neodymium	Neodymium is considered to be moderately toxic	Неодимиумот се смета за умерено токсичен
Promethium	Promethium is harmful due to its radioactivity	Прометиумот е штетен поради неговата радиоактивност
Samarium	Samarium is considered to be moderately toxic	Самариумот се смета за умерено токсичен
Europium	Europium is considered to be mildly toxic	Европиумот се смета за малку токсичен
Gadolinium	Gadolinium is considered to be moderately toxic	Гадолиниумот се смета за умерено токсичен
Terbium	Terbium is considered to be moderately toxic	Тербиумот се смета за умерено токсичен
Dysprosium	Dysprosium is considered to be moderately toxic	Диспрозиумот се смета за умерено токсичен
Holmium	Holmium is considered to be of low toxicity	Холмиумот се смета за ниско токсичен
Erbium	Erbium is considered to be moderately toxic	Ербиумот се смета за умерено токсичен
Thulium	Thulium is considered to be non-toxic	Тулиумот се смета за нетоксичен
Ytterbium	Ytterbium is considered to be moderately toxic	Итербиумот се смета за умерено токсичен
Lutetium	Lutetium is considered to be non toxic	Лутециумот се смета за нетоксичен
Hafnium	Hafnium is considered to be non-toxic	Хафниумот се смета за нетоксичен
Tantalum	Tantalum is considered to be non-toxic	Танталот се смета за нетоксичен
Tungsten	Tungsten is considered to be of low toxicity	Волфрамот се смета за ниско токсичен
Rhenium	Very little is known about the toxicity of rhenium	Многу малку е познато за токсичноста на рениумот
Osmium	Even low concentrations in air can cause lung congestion, skin damage, or eye damage	Дури и ниски концентрации во воздухот можат да предизвикаат конгестија на белите дробови, оштетување на кожата или оштетување на очите
Iridium	Iridium is considered to be of low toxicity	Иридиумот се смета за ниско токсичен
Platinum	Platinum is considered to be non-toxic	Платинот се смета за нетоксичен
Gold	Gold is considered to be non-toxic	Златото се смета за нетоксично
Mercury	Mercury and most of its compounds are highly toxic	Живата и повеќето од нејзините соединенија се високо токсични
Thallium	Thallium and its compounds are highly toxic	Талиумот и неговите соединенија се високо токсични
Lead	Lead and its compounds are poisonous	Оловото и неговите соединенија се отровни
Bismuth	Bismuth is considered to be non-toxic	Бизмутот се смета за нетоксичен
Polonium	Polonium is highly dangerous and radioactive	Полониумот е многу опасен и радиоактивен
Astatine	Astatine is highly radioactive	Астатинот е многу радиоактивен
Radon	Radon is highly radioactive and a carcinogen	Радонот е многу радиоактивен и канцероген
Francium	Francium is highly radioactive	Францiumот е многу радиоактивен
Radium	Radium is highly radioactive and carcinogenic	Радиумот е многу радиоактивен и канцероген
Actinium	Actinium is highly radioactive	Актиниумот е многу радиоактивен
Thorium	Thorium is highly radioactive	Ториумот е многу радиоактивен
Protactinium	Protactinium is toxic and highly radioactive	Протактиниумот е токсичен и многу радиоактивен
Uranium	Uranium is toxic and highly radioactive	Ураниумот е токсичен и многу радиоактивен
Neptunium	Neptunium is harmful due to its radioactivity	Нептуниумот е штетен поради неговата радиоактивност
Plutonium	Plutonium is harmful due to its radioactivity	Плутониумот е штетен поради неговата радиоактивност
Americium	Americium is harmful due to its radioactivity	Америциумот е штетен поради неговата радиоактивност
Curium	Curium is harmful due to its radioactivity	Кириумот е штетен поради неговата радиоактивност
Berkelium	Berkelium is harmful due to its radioactivity	Берклиумот е штетен поради неговата радиоактивност
Californium	Californium is harmful due to its radioactivity	Калифорниумот е штетен поради неговата радиоактивност
Einsteinium	Einsteinium is harmful due to its radioactivity	Ајнштајниумот е штетен поради неговата радиоактивност
Fermium	Fermium is harmful due to its radioactivity	Фермиумот е штетен поради неговата радиоактивност
Mendelevium	Mendelevium is harmful due to its radioactivity	Менделевиумот е штетен поради неговата радиоактивност
Nobelium	Nobelium is harmful due to its radioactivity	Нобелиумот е штетен поради неговата радиоактивност
Lawrencium	Lawrencium is harmful due to its radioactivity	Лоренциумот е штетен поради неговата радиоактивност
Rutherfordium	Rutherfordium is harmful due to its radioactivity	Рутерфордиумот е штетен поради неговата радиоактивност
Dubnium	Dubnium is harmful due to its radioactivity	Дубниумот е штетен поради неговата радиоактивност
Seaborgium	Seaborgium is harmful due to its radioactivity	Сиборгиумот е штетен поради неговата радиоактивност
Bohrium	Bohrium is harmful due to its radioactivity	Бориумот е штетен поради неговата радиоактивност
Hassium	Hassium is harmful due to its radioactivity	Хасиумот е штетен поради неговата радиоактивност
Meitnerium	Meitnerium is harmful due to its radioactivity	Мајтнериумот е штетен поради неговата радиоактивност
Darmstadtium	Darmstadtium is harmful due to its radioactivity	Дармштадиумот е штетен поради неговата радиоактивност
Roentgenium	Roentgenium is harmful due to its radioactivity	Рентгениумот е штетен поради неговата радиоактивност
Copernicium	Copernicium is harmful due to its radioactivity	Копернициумот е штетен поради неговата радиоактивност
Nihonium	Nihonium is harmful due to its radioactivity	Нихониумот е штетен поради неговата радиоактивност
Flerovium	Flerovium is harmful due to its radioactivity	Флеровиумот е штетен поради неговата радиоактивност
Moscovium	Moscovium is harmful due to its radioactivity	Московиумот е штетен поради неговата радиоактивност
Livermorium	Livermorium is harmful due to its radioactivity	Ливерморiумот е штетен поради неговата радиоактивност
Tennessine	Tennessine is harmful due to its radioactivity	Тенесинот е штетен поради неговата радиоактивност
