Element	English	Esperanto
Americium	Americium is used in commercial ionization chamber smoke detectors, as well as in neutron sources and industrial gauges.<br><br>Americium-241 has been used as a portable source of both gamma rays and alpha particles for a number of medical and industrial uses.<br><br>It is also used as a target material in nuclear research to make even heavier elements.	Americio estas uzata en komercaj jonigaj ĉambroaj fumdetektiloj, kiel ankaŭ en neŭtronaj fontoj kaj industriaj mezuriloj.<br><br>Americio-241 estis uzata kiel portebla fonto de ambaŭ gama radioj kaj alfa partikloj por kelkaj medicinaj kaj industriaj uzoj.<br><br>Ĝi ankaŭ estas uzata kiel celmaterialo en nuklea esploro por fari ankoraŭ pezajn elementojn.
Curium	Curium is mainly used for scientific research purposes.<br><br>Curium is a common starting material for the production of higher transuranic elements and transactinides.<br><br>The most practical application of <sup>244</sup>Cm is as α-particle source in the alpha particle X-ray spectrometers (APXS).	Kurio estas ĉefe uzata por sciencaj esplorceloj.<br><br>Kurio estas komuna komencmaterialo por la produktado de pli altaj transuranaj elementoj kaj transaktinidoj.<br><br>La plej praktika apliko de <sup>244</sup>Cm estas kiel α-partikla fonto en la alfa-partikla X-radia spektrometroj (APXS).
Berkelium	Berkelium is mainly used for scientific research purposes.<br><br>Berkelium-249 is a common target nuclide to prepare still heavier transuranic elements and transactinides, such as lawrencium, rutherfordium and bohrium.<br><br>It is also useful as a source of the isotope californium-249.	Berkelio estas ĉefe uzata por sciencaj esplorceloj.<br><br>Berkelio-249 estas komuna celnuklido por prepari ankoraŭ pezajn transuranajn elementojn kaj transaktinidojn, kiel laŭrencio, rutherfordio kaj borio.<br><br>Ĝi ankaŭ estas utila kiel fonto de la izotopo kalifornio-249.
Californium	Californium is used as a portable neutron source for discovery of metals such as gold or silver by on-the-spot activation analysis.<br><br>Neutrons from californium are employed as a treatment of certain cervical and brain cancers where other radiation therapy is ineffective.<br><br>Neutron moisture gauges use californium-252 to find water and petroleum layers in oil wells.	Kalifornio estas uzata kiel portebla neŭtronafonto por malkovro de metaloj kiel oro aŭ arĝento per enlokata aktiviga analizo.<br><br>Neŭtronoj el kalifornio estas dungitaj kiel traktado de certaj cervikaj kaj cerbaj kanceroj kie alia radioterapio estas malefika.<br><br>Neŭtronaj humidecmezuriloj uzas kalifornion-252 por trovi akvan kaj naftan tavolojn en naƒtuputoj.
Einsteinium	Einsteinium is mainly used for scientific research purposes.<br><br>The rare isotope einsteinium-254 is favored for production of ultraheavy elements.<br><br>Einsteinium-254 was used as the calibration marker in the chemical analysis spectrometer of the Surveyor 5 lunar probe.	Ejnŝtejnio estas ĉefe uzata por sciencaj esplorceloj.<br><br>La rara izotopo ejnŝtejnio-254 estas preferata por produktado de ultra-pezaj elementoj.<br><br>Ejnŝtejnio-254 estis uzata kiel kalibrada markilo en la kemia analiza spektrometro de la Surveyor 5-a luna sondo.
Fermium	Fermium is used for scientific research purposes only.	Fermio estas uzata nur por sciencaj esplorceloj.
Mendelevium	Mendelevium is used for scientific research purposes only.	Mendelevio estas uzata nur por sciencaj esplorceloj.
Nobelium	Nobelium is used for scientific research purposes only.	Nobelio estas uzata nur por sciencaj esplorceloj.
Lawrencium	Lawrencium is used for scientific research purposes only.	Laŭrencio estas uzata nur por sciencaj esplorceloj.
Rutherfordium	Rutherfordium is used for scientific research purposes only.	Rutherfordio estas uzata nur por sciencaj esplorceloj.
Dubnium	Dubnium is used for scientific research purposes only.	Dubnio estas uzata nur por sciencaj esplorceloj.
Seaborgium	Seaborgium is used for scientific research purposes only.	Seaborgio estas uzata nur por sciencaj esplorceloj.
Bohrium	Bohrium is used for scientific research purposes only.	Borio estas uzata nur por sciencaj esplorceloj.
Hassium	Hassium is used for scientific research purposes only.	Hasio estas uzata nur por sciencaj esplorceloj.
Meitnerium	Meitnerium is used for scientific research purposes only.	Majtnerio estas uzata nur por sciencaj esplorceloj.
Darmstadtium	Darmstadtium is used for scientific research purposes only.	Darmstadtio estas uzata nur por sciencaj esplorceloj.
Roentgenium	Roentgenium is used for scientific research purposes only.	Roentgenio estas uzata nur por sciencaj esplorceloj.
Copernicium	Copernicium is used for scientific research purposes only.	Kopernikio estas uzata nur por sciencaj esplorceloj.
Nihonium	Nihonium is used for scientific research purposes only.	Nihonio estas uzata nur por sciencaj esplorceloj.
Flerovium	Flerovium is used for scientific research purposes only.	Flerovio estas uzata nur por sciencaj esplorceloj.
Moscovium	Moscovium is used for scientific research purposes only.	Moskovio estas uzata nur por sciencaj esplorceloj.
Livermorium	Livermorium is used for scientific research purposes only.	Livermoriumo estas uzata nur por sciencaj esplorceloj.
Tennessine	Tennessine is used for scientific research purposes only.	Tenesino estas uzata nur por sciencaj esplorceloj.
Oganesson	Oganesson is used for scientific research purposes only.	Oganesono estas uzata nur por sciencaj esplorceloj.
		
Hydrogen	Hydrogen is the primary component of Jupiter and the other gas giant planets	Hidrogeno estas la ĉefa komponento de Jupitero kaj la aliaj gasaj gigantaj planedoj
Helium	Unlike any other element, helium will remain liquid down to absolute zero at normal pressures	Male al iu ajn alia elemento, helio restos likva malsupre ĝis absoluta nulo ĉe normala premoj
Lithium	Lithium is the only metal which reacts with nitrogen under normal conditions	Litio estas la sola metalo kiu reagas kun nitrogeno sub normalaj kondiĉoj
Beryllium	Emerald is a naturally occurring compound of beryllium	Smaragdo estas nature okazanta kunmetaĵo de berilio
Boron	Boron is an essential nutrient for all green plants	Boro estas esenca nutraĵo por ĉiuj verdaj plantoj
Carbon	About 20% of the weight of living organisms is carbon	Ĉirkaŭ 20% de la pezo de vivantaj organismoj estas karbono
Nitrogen	Nitrogen is present in all living organisms, in proteins, nucleic acids and other molecules	Nitrogeno ĉeestas en ĉiuj vivantaj organismoj, en proteinoj, nukleaj acidoj kaj aliaj molekuloj
Oxygen	Green and red colors in the Aurora Borealis are caused by oxygen atoms	La verdaj kaj ruĝaj koloroj en la Aŭrora Borealo estas kaŭzitaj de oksigenaj atomoj
Fluorine	Fluorine reacts violently with water to produce oxygen	Fluoro reagas perforte kun akvo por produkti oksigenon
Neon	In a vacuum discharge tube, neon glows reddish orange	En vakuuma elŝarĝa tubo, neono brilas ruĝec-oranĝe
Sodium	Sodium burns in air with a brilliant yellow flame	Sodio brulas en aero per brila flava flamo
Magnesium	When it burns in air, magnesium produces a brilliant white light	Kiam ĝi brulas en aero, magnezio produktas brilan blankan lumon
Aluminium	Aluminum does not stick to magnets under normal conditions	Aluminio ne algluiĝas al magnetoj sub normalaj kondiĉoj
Silicon	Silicon also has the unusual property that it expands as it freezes	Silicio ankaŭ havas la nekutiman econ ke ĝi vastiĝas kiam ĝi glaciiĝas
Phosphorus	Elemental phosphorus exists in two major forms - white phosphorus and red phosphorus	Elementa fosforo ekzistas en du ĉefaj formoj - blanka fosforo kaj ruĝa fosforo
Sulfur	Penicillin is a natural, sulfur-based antibiotic	Penicilino estas natura, sulfur-bazita antibiotiko
Chlorine	Tree frogs have a chlorine compound in their skin that is a very powerful pain killer	Arbaj ranoj havas kloran kunmetaĵon en sia haŭto kiu estas tre potenca dolorkvietanto
Argon	Argon makes a distinctive blue-green gas laser	Argono faras karakterizan bluverd-koloron gasan lazeron
Potassium	People whose diets are low in potassium can suffer from hypokalemia	Homoj kies dietoj estas malriĉaj je kalio povas suferi de hipokaliemio
Calcium	The shell of an egg is made up of primarily calcium carbonate	La ŝelo de ovo estas farita ĉefe el kalcia karbonato
Scandium	The stable form of scandium is created in supernovas via the r-process	La stabila formo de skandio estas kreita en supernovoj per la r-procezo
Titanium	Titanium is one of the few elements that burns in pure nitrogen gas	Titanio estas unu el la malmultaj elementoj kiu brulas en pura nitrogena gaso
Vanadium	Vanadium is mined mostly in South Africa, north-western China, and eastern Russia	Vanadio estas elfosita plejparte en Sudafriko, nordokcidenta Ĉinio, kaj orienta Rusio
Chromium	Chromium oxide was used by the Chinese in the Qin dynasty over 2,000 years ago	Kromo oksido estis uzata de la ĉinoj en la Qin-dinastio antaŭ pli ol 2.000 jaroj
Manganese	Neanderthals may have used black manganese di oxide as a cosmetic 50,000 years ago	Neanderthaloj eble uzis nigran manganan dioksidon kiel kosmetikon antaŭ 50.000 jaroj
Iron	The color of blood is due to the hemoglobin, an iron-containing protein	La koloro de sango estas pro la hemoglobino, proteino enhavanta feron
Cobalt	Supplemental cobalt is essential in sheep's diets to improve the wools quality	Suplementa kobalto estas esenca en la dieto de ŝafoj por plibonigi la kvaliton de la lano
Nickel	Nickel is 100 times more concentrated below Earth's crust than in it	Niklato estas 100 fojoj pli koncentrita sub la krusto de la Tero ol en ĝi
Copper	Pure copper is orange-red and acquires a reddish tarnish when exposed to air	Pura kupro estas oranĝa-ruĝa kaj akiras ruĝetan pafinon kiam ekspoziciita al aero
Zinc	Zinc is referred to in nonscientific contexts as spelter	Zinko estas referenciata en neciencaj kuntekstoj kiel spelter
Gallium	Gallium has a strong tendency to supercool below its melting point / freezing point	Galio havas fortan emon al submalvarmiĝo sub ĝia frostopunkto
Germanium	Germanium and the oxide are transparent to infrared radiation	Germanio kaj la oksido estas travideblaj al infraruĝa radiado
Arsenic	Prawns are known to contain quite high levels of arsenic	Salikemoj estas konataj por enhavi sufiĉe altajn nivelojn de arseno
Selenium	Selenium deficiency in animals can lead to slow growth	Selena manko en bestoj povas konduki al malrapida kresko
Bromine	Bromine is the only nonmetallic element that is liquid at ordinary temperatures	Bromo estas la sola nemetala elemento kiu estas likva ĉe ordinaraj temperaturoj
Krypton	When ionized, krypton gas emits bright white light	Kiam jonigita, kripta gaso elsendas helan blankan lumon
Rubidium	Rubidium burns with a reddish-violet flame color	Rubidio brulas per ruĝeca-viola flamkoloro
Strontium	Strontium metal turns yellow when exposed to air	Stroncio metalo flaviĝas kiam ekspoziciita al aero
Yttrium	Finely divided yttrium is very unstable in air	Delikate dividita itrio estas tre malstabila en aero
Zirconium	The most common oxide is zirconium dioxide, also referred to as zirconia	La plej komuna oksido estas zirkonia dioksido, ankaŭ referenciata kiel zirkonio
Niobium	Brazil is the leading producer of niobium	Brazilo estas la konduka produktanto de niobio
Molybdenum	Molybdenum is essential for plant foliage health	Molibdeno estas esenca por la sano de planta foliaro
Technetium	Technetium was the first element to be produced artificially	Teknetio estis la unua elemento produktita artefarite
Ruthenium	Ruthenium is unaffected by air, water and acids	Ruteniato estas netuŝata de aero, akvo kaj acidoj
Rhodium	Rhodium metal does not normally form an oxide, even when heated	Rodia metalo normale ne formas oksidon, eĉ kiam varmigita
Palladium	In the late 1800s, palladium was more expensive than platinum	En la malfruaj 1800aj jaroj, paladio estis pli multekosta ol platino
Silver	In ancient Egypt and Medieval Europe, silver was often more valuable than gold	En antikva Egipto kaj Mezepoka Eŭropo, arĝento estis ofte pli valora ol oro
Cadmium	Cadmium is a soft metal which is easily cut with a knife	Kadmio estas mola metalo kiu estas facile tranĉata per tranĉilo
Indium	When it is bent, indium emits a high-pitched 'cry'	Kiam ĝi estas fleksita, indio elsendas alt-tonian 'ploron'
Tin	When a bar of tin is bent, a crackling sound known as the tin cry can be heard	Kiam stanga stango estas fleksita, kraketanta sono konata kiel la stana ploro povas esti aŭdata
Antimony	Antimony is a poor conductor of heat and electricity	Antimono estas malabunda konduktanto de varmo kaj elektro
Tellurium	In air, tellurium burns with a greenish-blue flames, forming the dioxide	En aero, teluro brulas per verdec-bluaj flamoj, formante la dioksidon
Iodine	Kelp was the main source of natural iodine in the 18th and 19th centuries	Kelpo estis la ĉefa fonto de natura jodo en la 18a kaj 19a jarcentoj
Xenon	If inhaled, xenon can cause a person's voice to deepen	Se enspirati, ksenono povas kaŭzi la voĉon de persono profundiĝi
Caesium	Cesium was the first element discovered using a spectroscope	Cesio estis la unua elemento malkovrita uzante spektroskopon
Barium	At low doses, barium acts as a muscle stimulant	Ĉe malaltaj dozoj, bario funkcias kiel muskola stimulanto
Lanthanum	Lanthanum is the most reactive of the rare earth metals	Lantano estas la plej reaktiva el la maloftaj tera metaloj
Cerium	Seawater contains 1.5 parts per trillion of cerium	Mara akvo enhavas 1,5 partojn ĉe triliono de cerio
Praseodymium	Praseodymium is usually stored under a light mineral oil or sealed in glass	Praseodimo estas kutime stokita sub malpeza minerala oleo aŭ sigelita en vitro
Neodymium	Most of the world's neodymium is mined in China	La plej granda parto de la monda neodimo estas elfosita en Ĉinio
Promethium	Promethium is the only lanthanide that has no stable isotopes	Prometio estas la sola lanthanido kiu havas neniujn stabilajn izotopojn
Samarium	Samarium metal can be produced by reducing the oxide with lanthanum	Samaria metalo povas esti produktita per redukto de la oksido kun lantano
Europium	Europium is the most reactive rare earth element	Eŭropio estas la plej reaktiva malofta tera elemento
Gadolinium	Gadolinium has the highest neutron cross-section among any stable nuclides	Gadolinio havas la plej altan neŭtronan transsekciaĵon inter ĉiuj stabilaj nuklidoj
Terbium	Terbium is soft enough to be cut with a knife	Terbio estas mola sufiĉe por esti tranĉata per tranĉilo
Dysprosium	Naturally occurring dysprosium is composed of 7 isotopes	Naturale okazanta disprozio estas komposta el 7 izotopoj
Holmium	Holmium has the highest magnetic strength of any naturally occurring element	Holmio havas la plej altan magnetan forton de iu ajn nature okazanta elemento
Erbium	The highest concentration of erbium in humans is in the bones	La plej alta koncentrado de erbio en homoj troviĝas en la ostoj
Thulium	Thulium ore occurs most commonly in China	Tulia erco okazas plej ofte en Ĉinio
Ytterbium	Ytterbium is recovered commercially from monazite sand	Iterbio estas rekuperita komerce el monazita sablo
Lutetium	Lutetium was the last natural rare earth element to be discovered	Luceo estis la lasta natura malofta tera elemento malkovrita
Hafnium	In powdered form, hafnium is pyrophoric and can ignite spontaneously in air	En pulvora formo, hafnio estas piroforka kaj povas ekflami spontanee en aero
Tantalum	Tantalum occurs principally in the mineral columbite-tantalite	Tantalo okazas ĉefe en la mineralo kolumbito-tantalito
Tungsten	The chemical symbol, W, comes from the original name of the element, Wolfram	La kemia simbolo W venas el la origina nomo de la elemento, Wolfram
Rhenium	Chile has the world's largest rhenium reserves	Ĉilio havas la plej grandajn reniajn rezervojn de la mondo
Osmium	Osmium is the least abundant stable element in the Earth's crust	Osmio estas la plej malmulta stabila elemento en la Tera krusto
Iridium	Iridium is the most corrosion-resistant metal known	Iridio estas la plej korozio-rezistenca metalo konata
Platinum	Platinum exists in higher abundances on the Moon and in meteorites	Platino ekzistas en pli altaj abundecoj sur la Luno kaj en meteoritoj
Gold	India is the world's largest single consumer of gold	Hindio estas la plej granda unuopa konsumanto de oro en la mondo
Mercury	Mercury is the only metal that is liquid at room temperature	Hidrargo estas la sola metalo kiu estas likva ĉe ĉambra temperaturo
Thallium	Agatha Christie made use of thallium's toxicity in her novel The Pale Horse	Agatha Christie uzis la toksecon de talio en ŝia romano La Pala Ĉevalo
Lead	Pencil leads in wooden pencils have never been made from lead	Krajonaj plumboŝtonoj en lignoj krajonoj neniam estis faritaj el plumbo
Bismuth	Bismuth has unusually high electrical resistance for a metal	Bismuto havas neordinareme altan elektran rezistancon por metalo
Polonium	Polonium is obtained by irradiating bismuth with high-energy neutrons or protons	Polonio estas obtenta per irradiado de bismuto kun altenergietikaj neŭtronoj aŭ protonoj
Astatine	Astatine is preferentially concentrated in the thyroid gland	Astato estas preferinde koncentrita en la tiroida glando
Radon	Upon condensation, radon glows because of the intense radiation it produces	Dum kondensado, radono brilas pro la intensa radiaciado kiun ĝi produktas
Francium	Francium was the last element discovered in nature, rather than by synthesis	Francio estis la lasta elemento malkovrita en naturo, prefere ol per sintezado
Radium	Radium imparts a carmine red color to a flame	Radiumo donas karminan ruĝan koloron al flamo
Actinium	Actinium glows in the dark with a pale blue light	Aktinio brilas en la mallumo per pala blua lumo
Thorium	Thorium fuel research is continuing in several countries including the USA and India	Toria brulaĵesploroj daŭrigas en pluraj landoj inkluzive la USA kaj Hindio
Protactinium	Protactinium is one of the rarest and most expensive naturally occurring elements	Protaktinio estas unu el la plej maloftaj kaj plej multekostaj nature okazantaj elementoj
Uranium	Uranium-235 was the first isotope that was found to be fissile	Uranio-235 estis la unua izotopo trovita por esti fisiigebla
Neptunium	Neptunium is obtained as a by-product from nuclear reactors	Neptunio estas obtenta kiel kromprodukto el nukleaj reaktoroj
Plutonium	The atomic bomb dropped on Nagasaki, Japan in 1945 had a plutonium core	La atombombo faligita sur Nagasaki, Japanio en 1945 havis plutonikan kernon
Americium	Americium often enters landfills from discarded smoke detectors	Americio ofte eniras rubliistejojn el forĵetitaj fumdetektiloj
Curium	Curium accumulates in the bones, lungs and liver, where it promotes cancer	Kurio amasiĝas en la ostoj, pulmoj kaj hepato, kie ĝi antaŭenigas kanceron
Berkelium	Just over one gram of berkelium has been produced in the United States since 1967	Ĵus super unu gramo de berkelio estis produktita en Usono ekde 1967
Californium	Californium is produced in nuclear reactors and particle accelerators	Kalifornio estas produktita en nukleaj reaktoroj kaj partikla akceliloj
Einsteinium	Einsteinium is the first divalent metal in the actinide series	Ejnŝtejnio estas la unua duvalenta metalo en la aktinida serio
Fermium	Sixteen isotopes of fermium are known to exist	Dek ses izotopoj de fermio estas konataj ekzisti
Mendelevium	Mendelevium was the first element to be produced one atom at a time	Mendelevio estis la unua elemento produktita unu atomo je fojo
Nobelium	Nobelium is a divalent ion in aqueous solution	Nobelio estas duvalenta jono en akva solvaĵo
Lawrencium	Lawrencium is a trivalent ion in aqueous solution	Laŭrencio estas trivalenta jono en akva solvaĵo
Rutherfordium	Rutherfordium is the first transactinide element	Rutherfordio estas la unua transaktinida elemento
Dubnium	The Berkeley team proposed the name hahnium for the element	La Berkeley-teamo proponis la nomon hahnium por la elemento
Seaborgium	There are 12 known isotopes of seaborgium	Estas 12 konataj izotopoj de seaborgio
Bohrium	The only confirmed example of isomerism in bohrium is in the isotope <sup>262</sup>Bh	La sola konfirmita ekzemplo de izomerio en borio estas en la izotopo <sup>262</sup>Bh
Hassium	More than 100 atoms of hassium have been synthesized to date	Pli ol 100 atomoj de hasio estas sintezitaj ĝis nun
Meitnerium	Meitnerium has 7 isotopes whose half-lives are known	Majtnerio havas 7 izotopojn kies duonvivoj estas konataj
Darmstadtium	Darmstadtium has no stable or naturally-occurring isotopes	Darmstadtio havas neniujn stabilajn aŭ nature-okazantajn izotopojn
Roentgenium	Roentgenium has no stable or naturally-occurring isotopes	Roentgenio havas neniujn stabilajn aŭ nature-okazantajn izotopojn
Copernicium	Copernicium has no stable or naturally-occurring isotopes	Kopernikio havas neniujn stabilajn aŭ nature-okazantajn izotopojn
Nihonium	Nihonium is historically known as eka-thallium	Nihonio estas historie konata kiel eka-talio
Flerovium	The longest-lived isotope currently known is <sup>289</sup>Fl	La plej longe vivanta izotopo aktuale konata estas <sup>289</sup>Fl
Moscovium	Moscovium is historically known as eka-bismuth	Moskovio estas historie konata kiel eka-bismuto
Livermorium	Livermorium is historically known as eka-polonium	Livermoriumo estas historie konata kiel eka-polonio
Tennessine	Tennessine is historically known as eka-astatine	Tenesino estas historie konata kiel eka-astato
Oganesson	Oganesson is historically known as eka-radon	Oganesono estas historie konata kiel eka-radono
		
Hydrogen	Hydrogen poses a number of hazards to safety, from fires when mixed with air to being an asphyxiant in its pure form	Hidrogeno prezentas kelkajn danĝerojn al sekureco, de fajroj kiam miksita kun aero ĝis esti asfiksianto en ĝia pura formo
Helium	Helium is not known to be toxic	Helio ne estas konata esti toksika
Lithium	Lithium is corrosive and requires special handling to avoid skin contact	Litio estas koroziva kaj postulas specialan traktadon por eviti haŭtkontakton
Beryllium	Beryllium and its salts are toxic and should be handled with the greatest of care	Berilio kaj ĝiaj saloj estas toksikaj kaj devus esti traktataj kun la plej granda zorgo
Boron	Elemental boron, boron oxide, boric acid, borates and many organoboron compounds are non-toxic	Elementa boro, bora oksido, bora acido, boratoj kaj multaj organoboraj kunmetaĵoj estas ne-toksikaj
Carbon	Pure carbon has extremely low toxicity to humans and can be handled safely in the form of graphite or charcoal	Pura karbono havas ekstreme malaltan toksecon por homoj kaj povas esti traktata sekure en la formo de grafito aŭ karbo
Nitrogen	Rapid release of nitrogen gas into an enclosed space can displace oxygen, and therefore represents an asphyxiation hazard	Rapida liberigo de nitrogena gaso en fermitan spacon povas anstataŭi oksigenon, kaj sekve reprezentas asfikiadan danĝeron
Oxygen	Oxygen gas can be toxic at elevated partial pressures, leading to convulsions and other health problems	Oksigena gaso povas esti toksika ĉe altitaj partiaj premoj, kondukante al konvulsioj kaj aliaj sanproblemoj
Fluorine	Fluorine is highly toxic and corrosive	Fluoro estas tre toksika kaj koroziva
Neon	Neon is not known to be toxic	Neono ne estas konata esti toksika
Sodium	Sodium metal should be handled with great care as it cannot be maintained in an inert atmosphere	Natria metalo devus esti traktata kun granda zorgo ĉar ĝi ne povas esti konservata en inerta atmosfero
Magnesium	Because serious fires can occur, great care should be taken in handling magnesium metal	Ĉar seriozaj fajroj povas okazi, granda zorgo devus esti prenita en traktado de magnezio metalo
Aluminium	Aluminum is not known to be toxic	Aluminio ne estas konata esti toksika
Silicon	If breathed in as a fine silica/silicate dust, it may cause chronic respiratory problems	Se enspiriĝas kiel dika silica/silikato polvo, ĝi povas kaŭzi kronajn respirajn problemojn
Phosphorus	White phosphorus is highly toxic while red phosphorus is considered non-toxic	Blanka fosforo estas tre toksika dum ruĝa fosforo estas konsiderata ne-toksika
Sulfur	Elemental sulfur is considered to be of low toxicity	Elementa sulfuro estas konsiderata havi malaltan toksecon
Chlorine	Elemental chlorine at high concentrations is extremely dangerous and poisonous	Elementa kloro ĉe altaj koncentracioj estas ekstreme danĝera kaj venena
Argon	Argon is considered to be non-toxic	Argono estas konsiderata esti ne-toksika
Potassium	Potassium must be handled with great care with full skin and eye protection	Kalio devas esti traktata kun granda zorgo kun plena haŭta kaj okula protekto
Calcium	Calcium is considered to be non-toxic	Kalcio estas konsiderata esti ne-toksika
Scandium	Scandium is considered to be of low toxicity	Skandio estas konsiderata havi malaltan toksecon
Titanium	Titanium metal is considered to be non-toxic	Titania metalo estas konsiderata esti ne-toksika
Vanadium	All vanadium compounds should be considered toxic	Ĉiuj vanadia kunmetaĵoj devus esti konsiderataj toksikaj
Chromium	In larger amounts, chromium can be toxic and carcinogenic	En pli grandaj kvantoj, kromo povas esti toksika kaj kancerogenika
Manganese	Excess manganese, particularly inhalation of the powder, is toxic	Troa mangano, precipe enspiro de la pulvoro, estas toksika
Iron	Iron is considered to be non-toxic	Fero estas konsiderata esti ne-toksika
Cobalt	Cobalt and its compounds are considered to be slightly toxic	Kobalto kaj ĝiaj kunmetaĵoj estas konsiderataj esti iomete toksikaj
Nickel	Nickel and its compounds are considered to be carcinogenic	Niklato kaj ĝiaj kunmetaĵoj estas konsiderataj esti kancerogenikaj
Copper	Cooking acidic food in copper pots can cause toxicity	Kuirado de acida manĝaĵo en kupraj potoj povas kaŭzi toksicecon
Zinc	Zinc is not considered to be particularly toxic	Zinko ne estas konsiderata esti precipe toksika
Gallium	Gallium is considered to be non-toxic	Galio estas konsiderata esti ne-toksika
Germanium	Germanium is not known to be toxic	Germanio ne estas konata esti toksika
Arsenic	Arsenic and its compounds are poisonous	Arseno kaj ĝiaj kunmetaĵoj estas venenaj
Selenium	Many of selenium's compounds, such as selenates and selenites, are highly toxic	Multaj kunmetaĵoj de seleno, kiel selenatoj kaj selenitoj, estas tre toksikaj
Bromine	Bromine is poisonous and causes skin burns	Bromo estas venena kaj kaŭzas haŭtbrulojn
Krypton	Krypton is considered to be non-toxic	Kripto estas konsiderata esti ne-toksika
Rubidium	Rubidium is not known to be toxic	Rubidio ne estas konata esti toksika
Strontium	Strontium's non-radioactive isotopes are considered non-toxic	La ne-radioaktivaj izotopoj de stroncio estas konsiderataj ne-toksikaj
Yttrium	Exposure to yttrium compounds in humans may cause lung disease	Ekspozicio al itriaj kunmetaĵoj en homoj povas kaŭzi pulman malsanon
Zirconium	Zirconium is considered to be non-toxic	Zirkonio estas konsiderata esti ne-toksika
Niobium	Some niobium compounds are highly toxic	Kelkaj nobiaj kunmetaĵoj estas tre toksikaj
Molybdenum	Molybdenum is toxic in all but small quantities	Molibdeno estas toksika en ĉiuj krom etaj kvantoj
Technetium	Technetium is harmful due to its radioactivity	Teknetio estas damaĝa pro ĝia radioaktiveco
Ruthenium	Ruthenium is a suspected carcinogen and its compounds strongly stain the skin	Ruteniato estas suspektata kancerogeniko kaj ĝiaj kunmetaĵoj forte koloras la haŭton
Rhodium	Rhodium is considered to be non-toxic	Rodio estas konsiderata esti ne-toksika
Palladium	Palladium is considered to be of low toxicity	Paladio estas konsiderata havi malaltan toksecon
Silver	Silver is considered to be non-toxic	Arĝento estas konsiderata esti ne-toksika
Cadmium	Cadmium and its compounds are highly toxic	Kadmio kaj ĝiaj kunmetaĵoj estas tre toksikaj
Indium	Indium is considered to be of low toxicity	Indio estas konsiderata havi malaltan toksecon
Tin	Tin is considered to be non-toxic but most tin salts are toxic	Stano estas konsiderata esti ne-toksika sed la plej multaj stanaj saloj estas toksikaj
Antimony	Antimony and many of its compounds are toxic	Antimono kaj multaj el ĝiaj kunmetaĵoj estas toksikaj
Tellurium	Tellurium and tellurium compounds are considered to be mildly toxic	Teluro kaj teluraj kunmetaĵoj estas konsiderataj esti milde toksikaj
Iodine	Elemental iodine is toxic if taken orally	Elementa jodo estas toksika se prenita buŝe
Xenon	Xenon is not toxic, but its compounds are highly toxic	Ksenono ne estas toksika, sed ĝiaj kunmetaĵoj estas tre toksikaj
Caesium	Cesium compounds are considered to be mildly toxic	Cesiaj kunmetaĵoj estas konsiderataj esti milde toksikaj
Barium	Water-soluble barium compounds are poisonous	Akvosolveblaj bariaj kunmetaĵoj estas venenaj
Lanthanum	Lanthanum and its compounds are considered to be moderately toxic	Lantano kaj ĝiaj kunmetaĵoj estas konsiderataj esti mezgrade toksikaj
Cerium	Cerium is considered to be moderately toxic	Cerio estas konsiderata esti mezgrade toksika
Praseodymium	Praseodymium is considered to be moderately toxic	Praseodimo estas konsiderata esti mezgrade toksika
Neodymium	Neodymium is considered to be moderately toxic	Neodimo estas konsiderata esti mezgrade toksika
Promethium	Promethium is harmful due to its radioactivity	Prometio estas damaĝa pro ĝia radioaktiveco
Samarium	Samarium is considered to be moderately toxic	Samario estas konsiderata esti mezgrade toksika
Europium	Europium is considered to be mildly toxic	Eŭropio estas konsiderata esti milde toksika
Gadolinium	Gadolinium is considered to be moderately toxic	Gadolinio estas konsiderata esti mezgrade toksika
Terbium	Terbium is considered to be moderately toxic	Terbio estas konsiderata esti mezgrade toksika
Dysprosium	Dysprosium is considered to be moderately toxic	Disprozio estas konsiderata esti mezgrade toksika
Holmium	Holmium is considered to be of low toxicity	Holmio estas konsiderata havi malaltan toksecon
Erbium	Erbium is considered to be moderately toxic	Erbio estas konsiderata esti mezgrade toksika
Thulium	Thulium is considered to be non-toxic	Tulio estas konsiderata esti ne-toksika
Ytterbium	Ytterbium is considered to be moderately toxic	Iterbio estas konsiderata esti mezgrade toksika
Lutetium	Lutetium is considered to be non toxic	Luceo estas konsiderata esti ne-toksika
Hafnium	Hafnium is considered to be non-toxic	Hafnio estas konsiderata esti ne-toksika
Tantalum	Tantalum is considered to be non-toxic	Tantalo estas konsiderata esti ne-toksika
Tungsten	Tungsten is considered to be of low toxicity	Volframo estas konsiderata havi malaltan toksecon
Rhenium	Very little is known about the toxicity of rhenium	Tre malmulte estas konata pri la tokseco de renio
Osmium	Even low concentrations in air can cause lung congestion, skin damage, or eye damage	Eĉ malaltaj koncentracioj en aero povas kaŭzi pulman kongescion, haŭtdamaĝon aŭ okuldamaĝon
Iridium	Iridium is considered to be of low toxicity	Iridio estas konsiderata havi malaltan toksecon
Platinum	Platinum is considered to be non-toxic	Platino estas konsiderata esti ne-toksika
Gold	Gold is considered to be non-toxic	Oro estas konsiderata esti ne-toksika
Mercury	Mercury and most of its compounds are highly toxic	Hidrargo kaj la plej multaj el ĝiaj kunmetaĵoj estas tre toksikaj
