Element	English	Malay
Nitrogen	Nitrogen is present in all living organisms, in proteins, nucleic acids and other molecules	Nitrogen terdapat dalam semua organisma hidup, dalam protein, asid nukleik dan molekul lain
Oxygen	Green and red colors in the Aurora Borealis are caused by oxygen atoms	Warna hijau dan merah dalam Aurora Borealis disebabkan oleh atom oksigen
Fluorine	Fluorine reacts violently with water to produce oxygen	Fluorin bertindak balas dengan keras dengan air untuk menghasilkan oksigen
Neon	In a vacuum discharge tube, neon glows reddish orange	Dalam tiub pelepasan vakum, neon bersinar jingga kemerahan
Sodium	Sodium burns in air with a brilliant yellow flame	Natrium terbakar di udara dengan nyalaan kuning yang cemerlang
Magnesium	When it burns in air, magnesium produces a brilliant white light	Apabila terbakar di udara, magnesium menghasilkan cahaya putih yang cemerlang
Aluminium	Aluminum does not stick to magnets under normal conditions	Aluminium tidak melekat pada magnet dalam keadaan normal
Silicon	Silicon also has the unusual property that it expands as it freezes	Silikon juga mempunyai sifat luar biasa bahawa ia mengembang apabila membeku
Phosphorus	Elemental phosphorus exists in two major forms - white phosphorus and red phosphorus	Fosfor unsur wujud dalam dua bentuk utama - fosfor putih dan fosfor merah
Sulfur	Penicillin is a natural, sulfur-based antibiotic	Penisilin adalah antibiotik semula jadi berasaskan sulfur
Chlorine	Tree frogs have a chlorine compound in their skin that is a very powerful pain killer	Katak pokok mempunyai sebatian klorin dalam kulit mereka yang merupakan penghilang sakit yang sangat kuat
Argon	Argon makes a distinctive blue-green gas laser	Argon menghasilkan laser gas biru-hijau yang tersendiri
Potassium	People whose diets are low in potassium can suffer from hypokalemia	Orang yang dietnya rendah kalium boleh menghidap hipokalemia
Calcium	The shell of an egg is made up of primarily calcium carbonate	Cangkerang telur sebahagian besarnya terdiri daripada kalsium karbonat
Scandium	The stable form of scandium is created in supernovas via the r-process	Bentuk stabil skandium dicipta dalam supernova melalui proses-r
Titanium	Titanium is one of the few elements that burns in pure nitrogen gas	Titanium adalah salah satu daripada beberapa unsur yang terbakar dalam gas nitrogen tulen
Vanadium	Vanadium is mined mostly in South Africa, north-western China, and eastern Russia	Vanadium ditambang terutamanya di Afrika Selatan, barat laut China, dan timur Rusia
Chromium	Chromium oxide was used by the Chinese in the Qin dynasty over 2,000 years ago	Kromium oksida digunakan oleh orang Cina dalam dinasti Qin lebih 2,000 tahun lalu
Manganese	Neanderthals may have used black manganese di oxide as a cosmetic 50,000 years ago	Neanderthal mungkin telah menggunakan mangan dioksida hitam sebagai kosmetik 50,000 tahun lalu
Iron	The color of blood is due to the hemoglobin, an iron-containing protein	Warna darah adalah disebabkan oleh hemoglobin, protein yang mengandungi besi
Cobalt	Supplemental cobalt is essential in sheep's diets to improve the wools quality	Kobalt tambahan adalah penting dalam diet biri-biri untuk meningkatkan kualiti bulu
Nickel	Nickel is 100 times more concentrated below Earth's crust than in it	Nikel 100 kali lebih tertumpu di bawah kerak Bumi berbanding di dalamnya
Copper	Pure copper is orange-red and acquires a reddish tarnish when exposed to air	Kuprum tulen berwarna jingga-merah dan mendapat warna kemerahan apabila terdedah kepada udara
Zinc	Zinc is referred to in nonscientific contexts as spelter	Zink dirujuk dalam konteks bukan saintifik sebagai spelter
Gallium	Gallium has a strong tendency to supercool below its melting point / freezing point	Galium mempunyai kecenderungan kuat untuk menyejuksuper di bawah takat lebur / takat bekunya
Germanium	Germanium and the oxide are transparent to infrared radiation	Germanium dan oksidanya telus kepada sinaran inframerah
Arsenic	Prawns are known to contain quite high levels of arsenic	Udang diketahui mengandungi tahap arsenik yang agak tinggi
Selenium	Selenium deficiency in animals can lead to slow growth	Kekurangan selenium dalam haiwan boleh menyebabkan pertumbuhan perlahan
Bromine	Bromine is the only nonmetallic element that is liquid at ordinary temperatures	Bromin adalah satu-satunya unsur bukan logam yang cecair pada suhu biasa
Krypton	When ionized, krypton gas emits bright white light	Apabila diionkan, gas kripton memancarkan cahaya putih terang
Rubidium	Rubidium burns with a reddish-violet flame color	Rubidium terbakar dengan warna nyalaan merah-lembayung
Strontium	Strontium metal turns yellow when exposed to air	Logam strontium bertukar menjadi kuning apabila terdedah kepada udara
Yttrium	Finely divided yttrium is very unstable in air	Ytrium yang dibahagikan halus sangat tidak stabil di udara
Zirconium	The most common oxide is zirconium dioxide, also referred to as zirconia	Oksida yang paling biasa adalah zirkonium dioksida, juga dikenali sebagai zirkonia
Niobium	Brazil is the leading producer of niobium	Brazil adalah pengeluar niobium terkemuka
Molybdenum	Molybdenum is essential for plant foliage health	Molibdenum adalah penting untuk kesihatan dedaunan tumbuhan
Technetium	Technetium was the first element to be produced artificially	Teknetium adalah unsur pertama yang dihasilkan secara buatan
Ruthenium	Ruthenium is unaffected by air, water and acids	Rutenium tidak terjejas oleh udara, air dan asid
Rhodium	Rhodium metal does not normally form an oxide, even when heated	Logam rodium biasanya tidak membentuk oksida, walaupun dipanaskan
Palladium	In the late 1800s, palladium was more expensive than platinum	Pada akhir 1800-an, paladium lebih mahal daripada platinum
Silver	In ancient Egypt and Medieval Europe, silver was often more valuable than gold	Di Mesir Kuno dan Eropah Zaman Pertengahan, perak sering lebih berharga daripada emas
Cadmium	Cadmium is a soft metal which is easily cut with a knife	Kadmium adalah logam lembut yang mudah dipotong dengan pisau
Indium	When it is bent, indium emits a high-pitched 'cry'	Apabila dibengkokkan, indium mengeluarkan 'tangisan' bernada tinggi
Tin	When a bar of tin is bent, a crackling sound known as the tin cry can be heard	Apabila sebatang timah dibengkokkan, bunyi berderak yang dikenali sebagai tangisan timah boleh didengari
Antimony	Antimony is a poor conductor of heat and electricity	Antimon adalah pengalir haba dan elektrik yang lemah
Tellurium	In air, tellurium burns with a greenish-blue flames, forming the dioxide	Di udara, telurium terbakar dengan nyalaan biru-kehijauan, membentuk dioksida
Iodine	Kelp was the main source of natural iodine in the 18th and 19th centuries	Rumpai laut adalah sumber utama iodin semula jadi pada abad ke-18 dan ke-19
Xenon	If inhaled, xenon can cause a person's voice to deepen	Jika dihidu, xenon boleh menyebabkan suara seseorang menjadi lebih dalam
Caesium	Cesium was the first element discovered using a spectroscope	Sesium adalah unsur pertama yang ditemui menggunakan spektroskop
Barium	At low doses, barium acts as a muscle stimulant	Pada dos rendah, barium bertindak sebagai perangsang otot
Lanthanum	Lanthanum is the most reactive of the rare earth metals	Lantanum adalah yang paling reaktif dalam kalangan logam bumi nadir
Cerium	Seawater contains 1.5 parts per trillion of cerium	Air laut mengandungi 1.5 bahagian per trilion serium
Praseodymium	Praseodymium is usually stored under a light mineral oil or sealed in glass	Praseodimium biasanya disimpan dalam minyak mineral ringan atau dimeterai dalam kaca
Neodymium	Most of the world's neodymium is mined in China	Sebahagian besar neodimium dunia dilombong di China
Promethium	Promethium is the only lanthanide that has no stable isotopes	Prometium adalah satu-satunya lantanida yang tidak mempunyai isotop stabil
Samarium	Samarium metal can be produced by reducing the oxide with lanthanum	Logam samarium boleh dihasilkan dengan menurunkan oksida dengan lantanum
Europium	Europium is the most reactive rare earth element	Europium adalah unsur bumi nadir yang paling reaktif
Gadolinium	Gadolinium has the highest neutron cross-section among any stable nuclides	Gadolinium mempunyai keratan rentas neutron tertinggi di kalangan nuklid stabil
Terbium	Terbium is soft enough to be cut with a knife	Terbium cukup lembut untuk dipotong dengan pisau
Dysprosium	Naturally occurring dysprosium is composed of 7 isotopes	Disprosium yang terbentuk secara semula jadi terdiri daripada 7 isotop
Holmium	Holmium has the highest magnetic strength of any naturally occurring element	Holmium mempunyai kekuatan magnet tertinggi bagi mana-mana unsur yang terbentuk secara semula jadi
Erbium	The highest concentration of erbium in humans is in the bones	Kepekatan erbium tertinggi dalam manusia terdapat dalam tulang
Thulium	Thulium ore occurs most commonly in China	Bijih thulium paling kerap terdapat di China
Ytterbium	Ytterbium is recovered commercially from monazite sand	Yterbium diperoleh secara komersial daripada pasir monazit
Lutetium	Lutetium was the last natural rare earth element to be discovered	Lutetium adalah unsur bumi nadir semula jadi terakhir yang ditemui
Hafnium	In powdered form, hafnium is pyrophoric and can ignite spontaneously in air	Dalam bentuk serbuk, hafnium bersifat piroforik dan boleh menyala secara spontan di udara
Tantalum	Tantalum occurs principally in the mineral columbite-tantalite	Tantalum terdapat terutamanya dalam mineral kolumbit-tantalit
Tungsten	The chemical symbol, W, comes from the original name of the element, Wolfram	Simbol kimia, W, berasal daripada nama asal unsur tersebut, Wolfram
Rhenium	Chile has the world's largest rhenium reserves	Chile mempunyai simpanan renium terbesar di dunia
Osmium	Osmium is the least abundant stable element in the Earth's crust	Osmium adalah unsur stabil paling kurang melimpah dalam kerak Bumi
Iridium	Iridium is the most corrosion-resistant metal known	Iridium adalah logam yang paling tahan kakisan yang diketahui
Platinum	Platinum exists in higher abundances on the Moon and in meteorites	Platinum wujud dalam kelimpahan yang lebih tinggi di Bulan dan dalam meteorit
Gold	India is the world's largest single consumer of gold	India adalah pengguna tunggal emas terbesar di dunia
Mercury	Mercury is the only metal that is liquid at room temperature	Merkuri adalah satu-satunya logam yang cecair pada suhu bilik
Thallium	Agatha Christie made use of thallium's toxicity in her novel The Pale Horse	Agatha Christie menggunakan ketoksikan talium dalam novelnya The Pale Horse
Lead	Pencil leads in wooden pencils have never been made from lead	Plumbum pensel dalam pensel kayu tidak pernah diperbuat daripada plumbum
Bismuth	Bismuth has unusually high electrical resistance for a metal	Bismut mempunyai rintangan elektrik yang luar biasa tinggi untuk logam
Polonium	Polonium is obtained by irradiating bismuth with high-energy neutrons or protons	Polonium diperoleh dengan menyinari bismut dengan neutron atau proton bertenaga tinggi
Astatine	Astatine is preferentially concentrated in the thyroid gland	Astatin tertumpu secara pilihan dalam kelenjar tiroid
Radon	Upon condensation, radon glows because of the intense radiation it produces	Semasa pemeluwapan, radon bersinar kerana sinaran sengit yang dihasilkannya
Francium	Francium was the last element discovered in nature, rather than by synthesis	Fransium adalah unsur terakhir yang ditemui di alam semula jadi, bukan melalui sintesis
Radium	Radium imparts a carmine red color to a flame	Radium memberikan warna merah karmin kepada nyalaan
Actinium	Actinium glows in the dark with a pale blue light	Aktinium bersinar dalam gelap dengan cahaya biru pucat
Thorium	Thorium fuel research is continuing in several countries including the USA and India	Penyelidikan bahan api torium berterusan di beberapa negara termasuk Amerika Syarikat dan India
Protactinium	Protactinium is one of the rarest and most expensive naturally occurring elements	Protaktinium adalah salah satu daripada unsur semula jadi yang paling jarang dan paling mahal
Uranium	Uranium-235 was the first isotope that was found to be fissile	Uranium-235 adalah isotop pertama yang didapati bersifat fissil
Neptunium	Neptunium is obtained as a by-product from nuclear reactors	Neptunium diperoleh sebagai produk sampingan daripada reaktor nuklear
Plutonium	The atomic bomb dropped on Nagasaki, Japan in 1945 had a plutonium core	Bom atom yang dijatuhkan ke atas Nagasaki, Jepun pada tahun 1945 mempunyai teras plutonium
Americium	Americium often enters landfills from discarded smoke detectors	Amerisium sering masuk ke tapak pelupusan sampah daripada pengesan asap yang dibuang
Curium	Curium accumulates in the bones, lungs and liver, where it promotes cancer	Kurium terkumpul dalam tulang, paru-paru dan hati, di mana ia mendorong kanser
Berkelium	Just over one gram of berkelium has been produced in the United States since 1967	Lebih sedikit daripada satu gram berkelium telah dihasilkan di Amerika Syarikat sejak 1967
Californium	Californium is produced in nuclear reactors and particle accelerators	Kalifornium dihasilkan dalam reaktor nuklear dan pemecut zarah
Einsteinium	Einsteinium is the first divalent metal in the actinide series	Einsteinium adalah logam divalen pertama dalam siri aktinida
Fermium	Sixteen isotopes of fermium are known to exist	Enam belas isotop fermium diketahui wujud
Mendelevium	Mendelevium was the first element to be produced one atom at a time	Mendelevium adalah unsur pertama yang dihasilkan satu atom pada satu masa
Nobelium	Nobelium is a divalent ion in aqueous solution	Nobelium adalah ion divalen dalam larutan akueus
Lawrencium	Lawrencium is a trivalent ion in aqueous solution	Lawrencium adalah ion trivalen dalam larutan akueus
Rutherfordium	Rutherfordium is the first transactinide element	Rutherfordium adalah unsur transaktinida pertama
Dubnium	The Berkeley team proposed the name hahnium for the element	Pasukan Berkeley mencadangkan nama hahnium untuk unsur tersebut
Seaborgium	There are 12 known isotopes of seaborgium	Terdapat 12 isotop seaborgium yang diketahui
Bohrium	The only confirmed example of isomerism in bohrium is in the isotope <sup>262</sup>Bh	Satu-satunya contoh isomerisme yang disahkan dalam bohrium adalah dalam isotop <sup>262</sup>Bh
Hassium	More than 100 atoms of hassium have been synthesized to date	Lebih daripada 100 atom hassium telah disintesis sehingga kini
Meitnerium	Meitnerium has 7 isotopes whose half-lives are known	Meitnerium mempunyai 7 isotop yang diketahui separuh hayatnya
Darmstadtium	Darmstadtium has no stable or naturally-occurring isotopes	Darmstadtium tidak mempunyai isotop stabil atau yang terbentuk secara semula jadi
Roentgenium	Roentgenium has no stable or naturally-occurring isotopes	Roentgenium tidak mempunyai isotop stabil atau yang terbentuk secara semula jadi
Copernicium	Copernicium has no stable or naturally-occurring isotopes	Copernicium tidak mempunyai isotop stabil atau yang terbentuk secara semula jadi
Nihonium	Nihonium is historically known as eka-thallium	Nihonium secara sejarah dikenali sebagai eka-talium
Flerovium	The longest-lived isotope currently known is <sup>289</sup>Fl	Isotop paling panjang hayat yang diketahui pada masa ini ialah <sup>289</sup>Fl
Moscovium	Moscovium is historically known as eka-bismuth	Moscovium secara sejarah dikenali sebagai eka-bismut
Livermorium	Livermorium is historically known as eka-polonium	Livermorium secara sejarah dikenali sebagai eka-polonium
Tennessine	Tennessine is historically known as eka-astatine	Tennessine secara sejarah dikenali sebagai eka-astatin
Oganesson	Oganesson is historically known as eka-radon	Oganesson secara sejarah dikenali sebagai eka-radon
		
Hydrogen	Hydrogen poses a number of hazards to safety, from fires when mixed with air to being an asphyxiant in its pure form	Hidrogen menimbulkan beberapa bahaya keselamatan, daripada kebakaran apabila dicampur dengan udara hingga menjadi asfikian dalam bentuk tulennya
Helium	Helium is not known to be toxic	Helium tidak diketahui toksik
Lithium	Lithium is corrosive and requires special handling to avoid skin contact	Litium bersifat korosif dan memerlukan pengendalian khas untuk mengelakkan sentuhan kulit
Beryllium	Beryllium and its salts are toxic and should be handled with the greatest of care	Berilium dan garamnya adalah toksik dan harus ditangani dengan sangat berhati-hati
Boron	Elemental boron, boron oxide, boric acid, borates and many organoboron compounds are non-toxic	Boron unsur, boron oksida, asid borik, borat dan banyak sebatian organoboron adalah tidak toksik
Carbon	Pure carbon has extremely low toxicity to humans and can be handled safely in the form of graphite or charcoal	Karbon tulen mempunyai ketoksikan yang sangat rendah kepada manusia dan boleh ditangani dengan selamat dalam bentuk grafit atau arang
Nitrogen	Rapid release of nitrogen gas into an enclosed space can displace oxygen, and therefore represents an asphyxiation hazard	Pembebasan gas nitrogen dengan cepat ke dalam ruang tertutup boleh menggantikan oksigen, dan oleh itu mewakili bahaya asfiksia
Oxygen	Oxygen gas can be toxic at elevated partial pressures, leading to convulsions and other health problems	Gas oksigen boleh toksik pada tekanan separa yang tinggi, menyebabkan sawan dan masalah kesihatan lain
Fluorine	Fluorine is highly toxic and corrosive	Fluorin sangat toksik dan korosif
Neon	Neon is not known to be toxic	Neon tidak diketahui toksik
Sodium	Sodium metal should be handled with great care as it cannot be maintained in an inert atmosphere	Logam natrium harus ditangani dengan sangat berhati-hati kerana ia tidak dapat dikekalkan dalam atmosfera lengai
Magnesium	Because serious fires can occur, great care should be taken in handling magnesium metal	Oleh kerana kebakaran serius boleh berlaku, berhati-hati harus diambil dalam mengendalikan logam magnesium
Aluminium	Aluminum is not known to be toxic	Aluminium tidak diketahui toksik
Silicon	If breathed in as a fine silica/silicate dust, it may cause chronic respiratory problems	Jika dihirup sebagai habuk silika/silikat halus, ia boleh menyebabkan masalah pernafasan kronik
Phosphorus	White phosphorus is highly toxic while red phosphorus is considered non-toxic	Fosfor putih sangat toksik manakala fosfor merah dianggap tidak toksik
Sulfur	Elemental sulfur is considered to be of low toxicity	Sulfur unsur dianggap mempunyai ketoksikan yang rendah
Chlorine	Elemental chlorine at high concentrations is extremely dangerous and poisonous	Klorin unsur pada kepekatan tinggi sangat berbahaya dan beracun
Argon	Argon is considered to be non-toxic	Argon dianggap tidak toksik
Potassium	Potassium must be handled with great care with full skin and eye protection	Kalium mesti ditangani dengan sangat berhati-hati dengan perlindungan kulit dan mata penuh
Calcium	Calcium is considered to be non-toxic	Kalsium dianggap tidak toksik
Scandium	Scandium is considered to be of low toxicity	Skandium dianggap mempunyai ketoksikan yang rendah
Titanium	Titanium metal is considered to be non-toxic	Logam titanium dianggap tidak toksik
Vanadium	All vanadium compounds should be considered toxic	Semua sebatian vanadium harus dianggap toksik
Chromium	In larger amounts, chromium can be toxic and carcinogenic	Dalam jumlah yang lebih besar, kromium boleh menjadi toksik dan karsinogen
Manganese	Excess manganese, particularly inhalation of the powder, is toxic	Mangan berlebihan, terutamanya penghirupan serbuknya, adalah toksik
Iron	Iron is considered to be non-toxic	Ferum dianggap tidak toksik
Cobalt	Cobalt and its compounds are considered to be slightly toxic	Kobalt dan sebatiannya dianggap sedikit toksik
Nickel	Nickel and its compounds are considered to be carcinogenic	Nikel dan sebatiannya dianggap karsinogen
Copper	Cooking acidic food in copper pots can cause toxicity	Memasak makanan berasid dalam periuk kuprum boleh menyebabkan ketoksikan
Zinc	Zinc is not considered to be particularly toxic	Zink tidak dianggap sangat toksik
Gallium	Gallium is considered to be non-toxic	Galium dianggap tidak toksik
Germanium	Germanium is not known to be toxic	Germanium tidak diketahui toksik
Arsenic	Arsenic and its compounds are poisonous	Arsenik dan sebatiannya adalah beracun
Selenium	Many of selenium's compounds, such as selenates and selenites, are highly toxic	Banyak sebatian selenium, seperti selenat dan selenit, sangat toksik
Bromine	Bromine is poisonous and causes skin burns	Bromin adalah beracun dan menyebabkan luka bakar kulit
Krypton	Krypton is considered to be non-toxic	Kripton dianggap tidak toksik
Rubidium	Rubidium is not known to be toxic	Rubidium tidak diketahui toksik
Strontium	Strontium's non-radioactive isotopes are considered non-toxic	Isotop strontium yang tidak radioaktif dianggap tidak toksik
Yttrium	Exposure to yttrium compounds in humans may cause lung disease	Pendedahan kepada sebatian ytrium pada manusia boleh menyebabkan penyakit paru-paru
Zirconium	Zirconium is considered to be non-toxic	Zirkonium dianggap tidak toksik
Niobium	Some niobium compounds are highly toxic	Sesetengah sebatian niobium sangat toksik
Molybdenum	Molybdenum is toxic in all but small quantities	Molibdenum adalah toksik kecuali dalam jumlah kecil
Technetium	Technetium is harmful due to its radioactivity	Teknetium berbahaya kerana keradioaktifannya
Ruthenium	Ruthenium is a suspected carcinogen and its compounds strongly stain the skin	Rutenium disyaki karsinogen dan sebatiannya sangat menodai kulit
Rhodium	Rhodium is considered to be non-toxic	Rodium dianggap tidak toksik
Palladium	Palladium is considered to be of low toxicity	Paladium dianggap mempunyai ketoksikan yang rendah
Silver	Silver is considered to be non-toxic	Perak dianggap tidak toksik
Cadmium	Cadmium and its compounds are highly toxic	Kadmium dan sebatiannya sangat toksik
Indium	Indium is considered to be of low toxicity	Indium dianggap mempunyai ketoksikan yang rendah
Tin	Tin is considered to be non-toxic but most tin salts are toxic	Timah dianggap tidak toksik tetapi kebanyakan garam timah adalah toksik
Antimony	Antimony and many of its compounds are toxic	Antimon dan banyak sebatiannya adalah toksik
Tellurium	Tellurium and tellurium compounds are considered to be mildly toxic	Telurium dan sebatian telurium dianggap sedikit toksik
Iodine	Elemental iodine is toxic if taken orally	Iodin unsur adalah toksik jika dimakan secara oral
Xenon	Xenon is not toxic, but its compounds are highly toxic	Xenon tidak toksik, tetapi sebatiannya sangat toksik
Caesium	Cesium compounds are considered to be mildly toxic	Sebatian sesium dianggap sedikit toksik
Barium	Water-soluble barium compounds are poisonous	Sebatian barium yang larut dalam air adalah beracun
Lanthanum	Lanthanum and its compounds are considered to be moderately toxic	Lantanum dan sebatiannya dianggap sederhana toksik
Cerium	Cerium is considered to be moderately toxic	Serium dianggap sederhana toksik
Praseodymium	Praseodymium is considered to be moderately toxic	Praseodimium dianggap sederhana toksik
Neodymium	Neodymium is considered to be moderately toxic	Neodimium dianggap sederhana toksik
Promethium	Promethium is harmful due to its radioactivity	Prometium berbahaya kerana keradioaktifannya
Samarium	Samarium is considered to be moderately toxic	Samarium dianggap sederhana toksik
Europium	Europium is considered to be mildly toxic	Europium dianggap sedikit toksik
Gadolinium	Gadolinium is considered to be moderately toxic	Gadolinium dianggap sederhana toksik
Terbium	Terbium is considered to be moderately toxic	Terbium dianggap sederhana toksik
Dysprosium	Dysprosium is considered to be moderately toxic	Disprosium dianggap sederhana toksik
Holmium	Holmium is considered to be of low toxicity	Holmium dianggap mempunyai ketoksikan yang rendah
Erbium	Erbium is considered to be moderately toxic	Erbium dianggap sederhana toksik
Thulium	Thulium is considered to be non-toxic	Thulium dianggap tidak toksik
Ytterbium	Ytterbium is considered to be moderately toxic	Yterbium dianggap sederhana toksik
Lutetium	Lutetium is considered to be non toxic	Lutetium dianggap tidak toksik
Hafnium	Hafnium is considered to be non-toxic	Hafnium dianggap tidak toksik
Tantalum	Tantalum is considered to be non-toxic	Tantalum dianggap tidak toksik
Tungsten	Tungsten is considered to be of low toxicity	Tungsten dianggap mempunyai ketoksikan yang rendah
Rhenium	Very little is known about the toxicity of rhenium	Sangat sedikit yang diketahui tentang ketoksikan renium
Osmium	Even low concentrations in air can cause lung congestion, skin damage, or eye damage	Walaupun kepekatan rendah di udara boleh menyebabkan kesesakan paru-paru, kerosakan kulit, atau kerosakan mata
Iridium	Iridium is considered to be of low toxicity	Iridium dianggap mempunyai ketoksikan yang rendah
Platinum	Platinum is considered to be non-toxic	Platinum dianggap tidak toksik
Gold	Gold is considered to be non-toxic	Emas dianggap tidak toksik
Mercury	Mercury and most of its compounds are highly toxic	Merkuri dan kebanyakan sebatiannya sangat toksik
Thallium	Thallium and its compounds are highly toxic	Talium dan sebatiannya sangat toksik
Lead	Lead and its compounds are poisonous	Plumbum dan sebatiannya adalah beracun
Bismuth	Bismuth is considered to be non-toxic	Bismut dianggap tidak toksik
Polonium	Polonium is highly dangerous and radioactive	Polonium sangat berbahaya dan radioaktif
Astatine	Astatine is highly radioactive	Astatin sangat radioaktif
Radon	Radon is highly radioactive and a carcinogen	Radon sangat radioaktif dan karsinogen
Francium	Francium is highly radioactive	Fransium sangat radioaktif
Radium	Radium is highly radioactive and carcinogenic	Radium sangat radioaktif dan karsinogen
Actinium	Actinium is highly radioactive	Aktinium sangat radioaktif
Thorium	Thorium is highly radioactive	Torium sangat radioaktif
Protactinium	Protactinium is toxic and highly radioactive	Protaktinium adalah toksik dan sangat radioaktif
Uranium	Uranium is toxic and highly radioactive	Uranium adalah toksik dan sangat radioaktif
Neptunium	Neptunium is harmful due to its radioactivity	Neptunium berbahaya kerana keradioaktifannya
Plutonium	Plutonium is harmful due to its radioactivity	Plutonium berbahaya kerana keradioaktifannya
Americium	Americium is harmful due to its radioactivity	Amerisium berbahaya kerana keradioaktifannya
Curium	Curium is harmful due to its radioactivity	Kurium berbahaya kerana keradioaktifannya
Berkelium	Berkelium is harmful due to its radioactivity	Berkelium berbahaya kerana keradioaktifannya
Californium	Californium is harmful due to its radioactivity	Kalifornium berbahaya kerana keradioaktifannya
Einsteinium	Einsteinium is harmful due to its radioactivity	Einsteinium berbahaya kerana keradioaktifannya
Fermium	Fermium is harmful due to its radioactivity	Fermium berbahaya kerana keradioaktifannya
Mendelevium	Mendelevium is harmful due to its radioactivity	Mendelevium berbahaya kerana keradioaktifannya
Nobelium	Nobelium is harmful due to its radioactivity	Nobelium berbahaya kerana keradioaktifannya
Lawrencium	Lawrencium is harmful due to its radioactivity	Lawrencium berbahaya kerana keradioaktifannya
Rutherfordium	Rutherfordium is harmful due to its radioactivity	Rutherfordium berbahaya kerana keradioaktifannya
Dubnium	Dubnium is harmful due to its radioactivity	Dubnium berbahaya kerana keradioaktifannya
Seaborgium	Seaborgium is harmful due to its radioactivity	Seaborgium berbahaya kerana keradioaktifannya
Bohrium	Bohrium is harmful due to its radioactivity	Bohrium berbahaya kerana keradioaktifannya
Hassium	Hassium is harmful due to its radioactivity	Hassium berbahaya kerana keradioaktifannya
Meitnerium	Meitnerium is harmful due to its radioactivity	Meitnerium berbahaya kerana keradioaktifannya
Darmstadtium	Darmstadtium is harmful due to its radioactivity	Darmstadtium berbahaya kerana keradioaktifannya
Roentgenium	Roentgenium is harmful due to its radioactivity	Roentgenium berbahaya kerana keradioaktifannya
Copernicium	Copernicium is harmful due to its radioactivity	Copernicium berbahaya kerana keradioaktifannya
Nihonium	Nihonium is harmful due to its radioactivity	Nihonium berbahaya kerana keradioaktifannya
Flerovium	Flerovium is harmful due to its radioactivity	Flerovium berbahaya kerana keradioaktifannya
Moscovium	Moscovium is harmful due to its radioactivity	Moscovium berbahaya kerana keradioaktifannya
Livermorium	Livermorium is harmful due to its radioactivity	Livermorium berbahaya kerana keradioaktifannya
Tennessine	Tennessine is harmful due to its radioactivity	Tennessine berbahaya kerana keradioaktifannya
Oganesson	Oganesson is harmful due to its radioactivity	Oganesson berbahaya kerana keradioaktifannya
		
Hydrogen	Vial of glowing ultrapure hydrogen	Vial hidrogen ultratulen yang bercahaya
Helium	Vial of glowing ultrapure helium	Vial helium ultratulen yang bercahaya
Lithium	0.5 grams lithium under argon	0.5 gram litium di bawah argon
Beryllium	Pure beryllium bead, 2.5 grams	Manik berilium tulen, 2.5 gram
Boron	Pure crystalline boron, front side	Boron kristal tulen, bahagian hadapan
Carbon	Ultrapure carbon as graphite	Karbon ultratulen sebagai grafit
Nitrogen	Vial of glowing ultrapure nitrogen	Vial nitrogen ultratulen yang bercahaya
Oxygen	Vial of glowing ultrapure oxygen	Vial oksigen ultratulen yang bercahaya
Fluorine	Fluorine gas, but only as photomontage, because fluorine reacts even with glass	Gas fluorin, tetapi hanya sebagai fotomontaj, kerana fluorin bertindak balas malah dengan kaca
Neon	Vial of glowing ultrapure neon	Vial neon ultratulen yang bercahaya
Sodium	Sodium metal from the Dennis s.k collection	Sampel logam natrium daripada koleksi Dennis s.k
Magnesium	Magnesium swarf in a glass jar	Serpihan magnesium dalam balang kaca
Aluminium	Chunk of aluminum	Ketul aluminium
Silicon	Close up photo of a piece of purified silicon	Gambar jarak dekat sekeping silikon yang ditapak
Phosphorus	Red phosphorus as powder	Fosfor merah sebagai serbuk
Sulfur	A sample of sulfur	Sampel sulfur
Chlorine	Pure liquid chlorine under a pressure of 8 bars	Klorin cecair tulen di bawah tekanan 8 bar
Argon	Vial of glowing ultrapure argon	Vial argon ultratulen yang bercahaya
Potassium	Potassium pearls under paraffin oil	Mutiara kalium di bawah minyak parafin
Calcium	Pure calcium in a protective argon gas atmosphere	Kalsium tulen dalam atmosfera gas argon perlindungan
Scandium	Ultrapure crystalline scandium	Skandium kristal ultratulen
Titanium	A titanium crystal bar made by the iodide process at URALREDMET in the Soviet era	Bar kristal titanium yang dibuat dengan proses iodida di URALREDMET pada zaman Soviet
Vanadium	Vanadium crystals made by electrolysis	Kristal vanadium yang dibuat dengan elektrolisis
Chromium	High purity chromium crystals, produced by chemical transport reaction through decomposition of chromium iodides, as well as a high purity chromium cube for comparison	Kristal kromium tulen tinggi, dihasilkan oleh tindak balas pengangkutan kimia melalui penguraian iodida kromium, serta kiub kromium tulen tinggi untuk perbandingan
Manganese	Small pieces of manganese	Kepingan kecil mangan
Iron	Pure iron chips, electrolytically refined, as well as a high purity iron cube for comparison	Kepingan ferum tulen, ditapis secara elektrolitik, serta kiub ferum tulen tinggi untuk perbandingan
Cobalt	Pure cobalt chips, electrolytically refined, as well as a high purity cobalt cube for comparison	Kepingan kobalt tulen, ditapis secara elektrolitik, serta kiub kobalt tulen tinggi untuk perbandingan
Nickel	A sheet of nickel	Kepingan nikel
Copper	Macro of native copper	Makro kuprum asli
Zinc	A sheet of zinc	Kepingan zink
